SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_7,SHAPE_8,SHAPE_9
0.477,0.431,2.322,1.772,0.952,3.035
0.531,0.436,2.198,1.800,0.972,3.073
0.453,0.455,2.343,1.805,0.918,3.221
0.619,0.422,2.396,1.691,0.953,3.215
0.500,0.446,2.368,1.822,0.949,3.170
0.529,0.440,2.312,1.802,0.909,3.106
0.524,0.450,2.432,1.754,0.993,3.169
0.460,0.451,2.320,1.960,0.914,3.176
0.497,0.438,2.336,1.940,0.901,3.172
0.507,0.450,2.398,1.856,0.938,3.291
0.518,0.439,2.387,1.855,0.979,3.196
0.676,0.456,2.345,1.738,0.925,3.209
0.531,0.447,2.327,1.781,0.958,3.230
0.506,0.458,2.404,1.770,0.938,3.106
0.529,0.443,2.506,1.857,0.975,3.181
0.504,0.472,2.344,1.894,0.965,3.162
0.463,0.472,2.511,2.001,0.929,3.243
0.633,0.440,2.256,1.725,0.923,3.342
0.490,0.463,2.338,1.855,0.847,3.141
0.523,0.444,2.277,1.732,0.960,3.191
0.508,0.463,2.417,1.724,0.930,3.244
0.667,0.448,2.219,1.497,1.076,3.164
0.512,0.449,2.340,1.753,0.948,3.083
0.523,0.467,2.392,1.736,0.957,3.271
0.532,0.454,2.347,1.838,0.889,3.148
0.516,0.451,2.268,1.971,0.925,3.273
0.519,0.425,2.200,1.670,0.936,3.126
0.587,0.451,2.389,1.695,0.939,3.104
0.554,0.450,2.319,1.816,0.928,3.181
0.516,0.427,2.395,1.739,0.974,3.132
0.594,0.441,2.253,1.738,1.059,3.105
0.450,0.460,2.412,1.912,0.967,3.181
0.569,0.454,2.384,1.711,0.932,3.304
0.513,0.456,2.491,1.985,0.950,3.259
0.502,0.461,2.333,1.888,0.927,3.326
0.499,0.440,2.282,1.795,0.941,3.023
0.519,0.444,2.223,1.919,0.916,3.210
0.491,0.444,2.369,1.808,0.953,3.181
0.507,0.438,2.176,1.917,0.926,3.053
0.527,0.456,2.431,1.734,1.025,3.151
0.503,0.457,2.323,1.845,1.001,3.096
0.529,0.447,2.297,1.770,0.954,3.218
0.495,0.456,2.189,1.829,0.917,3.183
0.487,0.468,2.370,1.807,0.974,3.079
0.517,0.439,2.370,1.739,0.926,3.086
0.541,0.449,2.406,1.624,0.891,3.114
0.517,0.454,2.323,1.747,0.929,3.125
0.524,0.454,2.396,1.836,0.976,3.297
0.499,0.451,2.326,1.869,0.892,3.249
0.480,0.435,2.471,1.796,0.957,3.125
0.539,0.444,2.267,1.783,0.937,3.204
0.516,0.453,2.489,1.940,0.971,3.243
0.489,0.456,2.392,1.820,0.926,3.219
0.503,0.475,2.320,1.846,0.965,3.232
0.465,0.434,2.380,1.796,0.919,3.109
0.590,0.440,2.350,1.570,0.887,3.135
0.530,0.462,2.402,1.849,0.911,3.185
0.534,0.455,2.210,1.772,0.879,3.238
0.541,0.432,2.182,1.829,0.915,3.131
0.483,0.475,2.434,1.858,0.987,3.166
0.508,0.456,2.295,1.926,0.998,3.146
0.542,0.442,2.299,1.750,0.905,3.115
0.480,0.449,2.372,1.812,0.914,3.166
0.483,0.431,2.427,1.789,0.934,3.134
0.537,0.447,2.441,1.754,0.962,3.264
0.497,0.464,2.355,1.859,0.935,3.125
0.512,0.443,2.309,1.817,0.939,3.067
0.622,0.450,2.333,1.702,0.938,3.269
0.500,0.462,2.348,1.862,0.903,3.329
0.486,0.441,2.273,1.732,0.912,3.092
0.582,0.452,2.290,1.636,0.911,3.212
0.511,0.447,2.433,1.813,0.888,3.144
0.510,0.451,2.287,1.837,1.003,3.203
0.508,0.456,2.349,1.762,0.966,3.165
0.472,0.441,2.375,1.946,0.933,2.998
0.544,0.462,2.265,1.658,0.974,3.262
0.594,0.452,2.186,1.711,0.917,3.223
0.554,0.452,2.469,1.754,0.961,3.135
0.496,0.456,2.291,1.836,0.912,3.149
0.615,0.460,2.353,1.692,0.947,3.172
0.499,0.468,2.382,1.877,0.951,3.092
0.533,0.437,2.324,1.781,0.929,3.075
0.490,0.461,2.371,1.815,0.979,3.139
0.531,0.466,2.335,1.743,0.968,3.170
0.562,0.448,2.296,1.787,0.986,3.284
0.478,0.453,2.419,1.817,0.991,3.181
0.563,0.457,2.290,1.683,0.946,3.291
0.506,0.461,2.306,1.736,0.978,3.215
0.461,0.427,2.361,1.899,0.992,3.031
0.499,0.475,2.460,1.880,0.969,3.223
0.542,0.440,2.333,1.738,0.982,3.272
0.486,0.464,2.474,1.889,1.007,3.177
0.481,0.450,2.336,1.930,0.944,3.195
0.483,0.451,2.333,1.881,0.900,3.130
0.480,0.456,2.417,1.870,0.978,3.136
0.462,0.437,2.236,1.822,0.922,3.084
0.500,0.444,2.326,1.830,0.954,3.155
0.527,0.451,2.224,1.841,0.933,3.120
0.485,0.446,2.396,1.864,0.956,3.152
0.479,0.455,2.329,1.851,0.935,3.217
0.521,0.465,2.488,1.850,0.909,3.282
0.499,0.449,2.413,1.865,0.937,3.193
0.511,0.458,2.400,1.830,0.952,3.240
0.517,0.449,2.340,1.873,0.956,3.076
0.552,0.446,2.335,1.726,0.918,3.110
0.663,0.427,2.026,1.781,0.919,3.008
0.499,0.439,2.266,1.876,0.944,3.125
0.488,0.462,2.467,1.982,0.971,3.231
0.503,0.431,2.209,1.877,0.933,3.081
0.495,0.434,2.290,1.824,0.908,3.087
0.507,0.444,2.285,1.983,0.943,3.124
0.477,0.446,2.379,1.790,0.992,3.102
0.496,0.455,2.381,1.817,0.901,3.204
0.670,0.450,2.252,1.529,0.973,3.201
0.455,0.442,2.476,1.934,0.926,3.195
0.504,0.471,2.307,1.804,0.922,3.376
0.534,0.448,2.290,1.865,0.961,3.127
0.577,0.439,2.333,1.823,0.919,3.120
0.579,0.436,2.259,1.649,0.883,3.258
0.553,0.472,2.351,1.698,0.891,3.418
0.537,0.437,2.399,1.668,0.984,3.331
0.817,0.451,2.124,1.482,1.031,3.035
0.486,0.437,2.293,1.821,0.891,3.158
0.477,0.440,2.353,1.819,0.930,3.068
0.557,0.444,2.215,1.637,0.966,3.135
0.526,0.468,2.269,1.735,0.911,3.255
0.480,0.465,2.371,1.848,1.029,3.213
0.507,0.464,2.443,1.845,0.933,3.237
0.499,0.463,2.373,1.786,0.974,3.337
0.474,0.429,2.264,1.817,0.936,3.021
0.501,0.452,2.452,1.855,0.980,3.184
0.477,0.453,2.391,1.792,1.000,3.228
0.484,0.428,2.319,1.929,0.934,3.203
0.504,0.434,2.301,1.784,0.987,3.081
0.528,0.464,2.440,1.676,1.058,3.213
0.503,0.446,2.329,1.894,0.908,3.143
0.500,0.453,2.437,1.775,0.955,3.195
0.479,0.452,2.396,1.840,0.911,3.197
0.455,0.451,2.430,1.860,0.964,3.111
0.466,0.453,2.373,1.912,0.956,3.236
0.484,0.437,2.350,1.703,0.947,3.206
0.528,0.442,2.351,1.899,0.969,3.299
0.494,0.429,2.261,1.866,0.941,3.087
0.512,0.445,2.388,1.792,0.939,3.172
0.526,0.455,2.251,1.730,0.973,3.200
0.482,0.434,2.220,1.740,0.950,3.033
0.471,0.453,2.412,1.814,0.969,3.158
0.516,0.475,2.485,1.846,0.953,3.261
0.491,0.457,2.424,1.899,0.943,3.192
0.694,0.430,2.245,1.535,1.030,3.161
0.537,0.417,2.313,1.740,0.957,3.066
0.519,0.462,2.332,1.900,0.894,3.232
0.514,0.442,2.420,1.809,0.981,3.124
0.491,0.452,2.341,1.875,1.013,3.042
0.510,0.439,2.478,1.935,1.013,3.169
0.492,0.445,2.367,1.904,0.922,3.274
0.493,0.452,2.303,1.705,0.915,3.235
0.605,0.431,2.350,1.724,0.996,3.006
0.477,0.450,2.429,1.910,0.937,3.100
0.594,0.435,2.297,1.611,0.984,3.277
0.563,0.450,2.295,1.719,0.964,3.276
0.685,0.449,2.140,1.580,0.946,3.102
0.527,0.449,2.256,1.857,0.894,3.310
0.537,0.459,2.349,1.772,0.927,3.223
0.563,0.439,2.293,1.678,0.925,3.191
0.492,0.425,2.307,1.784,0.953,3.131
0.537,0.460,2.348,1.748,0.923,3.274
0.498,0.451,2.387,1.831,0.950,3.174
0.492,0.447,2.537,1.893,1.026,3.213
0.546,0.452,2.311,1.843,0.917,3.148
0.658,0.458,2.355,1.711,0.904,3.308
0.571,0.446,2.336,1.703,0.988,3.221
0.506,0.453,2.356,1.742,1.007,3.050
0.588,0.445,2.289,1.719,0.950,3.042
0.543,0.448,2.363,1.782,0.952,3.156
0.476,0.426,2.374,1.815,0.968,3.129
0.548,0.455,2.498,1.742,0.983,3.270
0.505,0.479,2.440,1.819,0.929,3.305
0.618,0.430,2.246,1.740,0.895,3.136
0.601,0.464,2.367,1.707,0.940,3.330
0.629,0.449,2.115,1.644,0.908,3.163
0.587,0.432,2.262,1.614,0.956,3.215
0.506,0.471,2.457,1.895,0.962,3.148
0.542,0.475,2.302,1.952,0.879,3.415
0.483,0.472,2.413,1.880,0.923,3.183
0.660,0.450,2.093,1.547,0.969,3.114
0.523,0.458,2.373,1.722,0.976,3.197
0.584,0.466,2.286,1.697,0.967,3.147
0.530,0.434,2.506,1.910,0.990,3.015
0.620,0.452,2.301,1.626,0.959,3.319
0.513,0.465,2.387,1.903,0.942,3.238
0.554,0.455,2.310,1.574,0.954,3.255
0.522,0.461,2.537,1.833,0.983,3.167
0.537,0.472,2.358,1.776,0.938,3.330
0.551,0.431,2.379,1.763,0.900,2.949
0.714,0.447,2.180,1.479,0.927,3.218
0.467,0.462,2.389,1.805,0.914,3.250
0.498,0.428,2.331,1.773,0.945,3.154
0.470,0.464,2.394,1.966,0.934,3.006
0.499,0.468,2.417,1.866,0.943,3.260
0.506,0.428,2.377,1.781,0.960,3.101
0.569,0.438,2.335,1.778,0.973,3.207
0.566,0.437,2.221,1.752,0.977,3.051
0.484,0.450,2.487,1.873,0.968,3.053
0.624,0.442,2.349,1.760,0.959,3.199
0.563,0.461,2.287,1.867,0.987,3.091
0.525,0.459,2.476,1.841,0.944,3.253
0.464,0.447,2.468,1.939,1.006,3.114
0.507,0.458,2.561,1.874,0.978,3.232
0.534,0.451,2.414,1.781,0.909,3.114
0.552,0.449,2.264,1.573,0.960,3.329
0.497,0.452,2.426,1.820,0.918,3.255
0.523,0.468,2.392,1.768,0.899,3.247
0.621,0.441,2.256,1.745,0.882,3.092
0.622,0.442,2.204,1.580,0.913,3.224
0.489,0.461,2.355,1.998,0.997,3.137
0.529,0.452,2.203,1.709,0.900,3.143
0.484,0.447,2.178,1.816,0.888,3.054
0.477,0.460,2.419,1.853,0.942,3.259
0.513,0.447,2.380,1.821,0.948,3.167
0.546,0.457,2.409,1.816,0.894,3.309
0.490,0.450,2.365,1.794,0.940,3.150
0.543,0.442,2.364,1.677,0.985,3.264
0.580,0.446,2.375,1.929,1.002,3.085
0.536,0.446,2.378,1.674,0.936,2.943
0.511,0.448,2.398,1.816,0.947,3.252
0.509,0.435,2.332,1.764,0.892,3.033
0.546,0.443,2.245,1.735,0.923,3.166
0.596,0.428,2.378,1.725,0.973,3.204
0.540,0.440,2.238,1.755,0.887,3.247
0.516,0.474,2.274,1.787,0.946,3.251
0.611,0.451,2.336,1.697,0.928,3.233
0.476,0.456,2.462,1.840,0.903,3.255
0.488,0.454,2.315,1.804,0.936,3.022
0.463,0.476,2.397,1.846,0.899,3.456
0.578,0.434,2.266,1.686,0.970,3.178
0.535,0.439,2.325,1.819,0.960,3.055
0.523,0.448,2.483,1.801,1.006,3.281
0.518,0.466,2.418,1.724,0.930,3.145
0.532,0.460,2.574,1.946,0.939,3.226
0.575,0.452,2.325,1.703,0.899,3.281
0.524,0.461,2.450,1.931,0.979,3.227
0.491,0.470,2.463,1.915,0.934,3.319
0.533,0.435,2.332,1.831,0.912,3.175
0.501,0.463,2.477,1.859,0.902,3.155
0.608,0.442,2.309,1.689,1.039,3.097
0.506,0.441,2.390,1.792,0.964,3.130
0.507,0.461,2.374,1.934,0.905,3.165
0.500,0.453,2.303,1.958,1.006,3.147
0.527,0.447,2.420,1.816,0.836,3.293
0.563,0.443,2.254,1.814,0.903,3.200
0.522,0.461,2.473,1.760,0.892,3.265
0.484,0.492,2.432,1.863,0.963,3.292
0.477,0.440,2.339,1.895,0.953,3.047
0.610,0.458,2.239,1.716,1.003,3.171
0.471,0.449,2.463,1.816,0.947,3.087
0.531,0.463,2.439,1.830,0.954,3.180
0.506,0.450,2.291,1.909,1.050,3.109
0.539,0.454,2.449,1.895,1.006,3.245
0.581,0.447,2.123,1.757,0.959,3.214
0.544,0.456,2.241,1.890,0.943,3.130
0.641,0.440,2.255,1.565,0.986,3.275
0.490,0.451,2.348,1.899,0.966,3.136
0.516,0.454,2.307,1.813,0.965,3.079
0.543,0.419,2.426,1.679,0.973,3.094
0.516,0.445,2.204,1.735,0.917,3.258
0.582,0.426,2.270,1.694,1.018,3.111
0.499,0.447,2.480,1.738,0.967,3.124
0.639,0.438,2.253,1.648,0.970,3.173
0.499,0.445,2.305,1.829,0.969,3.234
0.519,0.416,2.267,1.768,0.885,3.023
0.573,0.424,2.278,1.714,0.998,3.064
0.677,0.421,2.152,1.491,1.039,3.120
0.552,0.435,2.300,1.640,1.024,3.163
0.524,0.470,2.378,1.815,0.932,3.219
0.556,0.442,2.311,1.836,1.024,3.038
0.511,0.447,2.389,1.755,0.954,3.135
0.476,0.452,2.365,1.819,0.947,3.006
0.496,0.458,2.462,1.829,0.941,3.170
0.519,0.452,2.509,1.733,0.870,3.166
0.510,0.453,2.290,1.799,0.977,3.119
0.503,0.463,2.350,1.624,0.963,3.069
0.464,0.451,2.407,1.907,0.926,3.069
0.593,0.449,2.401,1.683,1.014,3.053
0.490,0.460,2.348,1.789,0.899,3.176
0.516,0.441,2.428,1.888,0.887,2.967
0.543,0.469,2.510,1.778,0.999,3.252
0.463,0.434,2.471,1.926,0.930,3.075
0.606,0.443,2.319,1.699,0.982,3.118
0.714,0.440,2.118,1.513,0.976,3.116
0.510,0.463,2.391,1.914,0.929,3.240
0.589,0.459,2.324,1.710,0.877,3.333
0.475,0.469,2.274,1.782,0.967,3.117
0.509,0.458,2.379,1.766,0.994,3.237
0.494,0.451,2.489,1.745,0.978,3.069
0.508,0.446,2.313,1.721,0.953,2.999
0.513,0.458,2.233,1.903,0.921,3.185
0.577,0.446,2.346,1.765,0.972,3.014
0.541,0.446,2.121,1.696,0.912,3.074
0.503,0.445,2.460,1.878,0.969,3.048
0.527,0.467,2.439,1.769,0.985,3.228
0.566,0.438,2.340,1.726,0.927,3.049
0.570,0.448,2.262,1.682,0.955,3.065
0.514,0.441,2.343,1.887,0.994,3.058
0.577,0.445,2.288,1.647,1.003,3.146
0.514,0.438,2.422,1.854,0.936,3.028
0.476,0.442,2.326,1.815,0.965,3.044
0.493,0.489,2.481,1.782,0.936,3.253
0.492,0.458,2.449,1.771,1.016,3.060
0.752,0.446,2.163,1.407,1.044,3.108
0.500,0.446,2.307,1.910,0.854,3.111
0.492,0.457,2.446,1.783,0.847,3.181
0.504,0.447,2.333,1.860,0.955,3.140
0.676,0.453,2.254,1.703,0.972,3.335
0.541,0.448,2.337,1.743,1.012,3.130
0.505,0.461,2.286,1.810,0.960,3.329
0.484,0.449,2.378,1.903,0.961,3.081
0.504,0.452,2.379,1.866,1.010,3.132
0.497,0.438,2.294,1.750,0.914,3.145
0.491,0.456,2.415,1.858,0.876,3.164
0.480,0.451,2.478,1.818,0.951,3.121
0.484,0.468,2.435,1.925,0.947,3.207
0.491,0.476,2.400,1.987,0.869,3.183
0.494,0.446,2.421,1.745,0.979,3.077
0.515,0.452,2.229,1.844,0.939,3.159
0.538,0.465,2.273,1.734,0.959,3.191
0.521,0.432,2.208,1.765,1.012,3.097
0.453,0.437,2.339,1.869,0.892,3.070
0.482,0.440,2.317,1.808,0.920,3.016
0.510,0.443,2.422,1.790,0.962,3.211
0.523,0.433,2.418,1.826,1.050,3.093
0.540,0.461,2.321,1.617,0.898,3.324
0.552,0.441,2.333,1.717,0.889,3.072
0.629,0.456,2.436,1.702,1.045,3.005
0.621,0.461,2.206,1.650,0.981,3.031
0.515,0.453,2.283,1.868,0.909,3.136
0.489,0.459,2.354,1.880,0.913,3.046
0.489,0.450,2.452,1.839,0.902,3.206
0.525,0.472,2.496,1.729,0.944,3.388
0.586,0.450,2.305,1.666,0.935,3.076
0.575,0.443,2.385,1.784,1.004,3.134
0.517,0.450,2.403,1.723,0.992,3.143
0.501,0.454,2.348,1.870,0.942,3.201
0.481,0.447,2.434,1.996,0.928,3.121
0.562,0.463,2.198,1.763,0.964,3.125
0.551,0.445,2.266,1.771,0.942,3.121
0.500,0.449,2.428,1.854,0.972,3.075
0.518,0.440,2.466,1.647,0.958,3.024
0.592,0.467,2.413,1.688,0.932,3.266
0.570,0.462,2.212,1.799,0.962,3.253
0.491,0.457,2.290,2.032,0.930,3.066
0.536,0.416,2.287,1.679,0.926,3.023
0.522,0.439,2.343,1.841,0.942,3.047
0.625,0.434,2.305,1.825,0.914,3.070
0.584,0.455,2.238,1.654,0.994,3.129
0.521,0.430,2.303,1.720,0.968,2.948
0.553,0.442,2.375,1.713,0.952,3.111
0.509,0.440,2.396,1.728,0.950,3.164
0.592,0.439,2.193,1.724,0.929,3.113
0.505,0.445,2.287,1.786,0.971,3.200
0.522,0.445,2.327,1.803,0.958,3.121
0.453,0.450,2.375,1.859,0.957,3.182
0.474,0.444,2.330,1.702,0.955,3.099
0.499,0.470,2.375,1.784,0.930,3.209
0.524,0.417,2.309,1.913,0.972,3.084
0.521,0.451,2.234,1.817,0.933,3.267
0.506,0.452,2.169,1.854,0.959,3.100
0.659,0.429,2.225,1.529,1.046,3.081
0.484,0.452,2.232,1.878,0.896,3.096
0.482,0.434,2.269,1.838,0.903,2.996
0.494,0.448,2.293,1.878,0.895,3.035
