SHAPE_1,SHAPE_2,SHAPE_3,SHAPE_5,SHAPE_7,SHAPE_8,SHAPE_10
0.509,0.478,2.146,1.377,1.631,0.979,0.352
0.566,0.490,2.057,1.276,1.412,1.027,0.385
0.552,0.487,2.067,1.210,1.483,1.015,0.367
0.660,0.457,2.054,1.277,1.366,1.054,0.407
0.627,0.455,2.067,1.517,1.430,1.014,0.378
0.555,0.466,2.234,1.457,1.455,0.997,0.389
0.595,0.439,1.969,1.333,1.576,1.039,0.372
0.524,0.463,2.240,1.372,1.475,0.899,0.383
0.544,0.443,2.067,1.421,1.390,1.025,0.410
0.721,0.497,1.919,1.542,1.506,1.118,0.409
0.530,0.443,2.251,1.285,1.531,0.982,0.403
0.513,0.452,2.212,1.286,1.490,0.991,0.399
0.492,0.440,2.328,1.376,1.601,0.991,0.376
0.504,0.451,2.175,1.308,1.644,0.940,0.412
0.527,0.464,2.221,1.432,1.550,1.057,0.395
0.654,0.454,1.986,1.416,1.289,0.994,0.407
0.615,0.463,1.877,1.502,1.518,1.042,0.373
0.498,0.458,2.173,1.313,1.534,0.981,0.380
0.614,0.469,2.038,1.203,1.494,1.007,0.387
0.507,0.471,2.106,1.297,1.588,0.967,0.341
0.612,0.470,1.898,1.263,1.445,1.067,0.385
0.624,0.443,1.951,1.475,1.311,1.043,0.370
0.556,0.446,2.157,1.569,1.436,0.921,0.406
0.521,0.454,2.169,1.316,1.506,1.050,0.401
0.510,0.458,2.135,1.165,1.549,0.947,0.376
0.498,0.450,2.258,1.446,1.559,0.985,0.369
0.554,0.468,2.141,1.460,1.366,0.927,0.380
0.552,0.430,2.142,1.411,1.494,1.013,0.369
0.590,0.458,2.036,1.451,1.392,1.018,0.369
0.764,0.470,2.002,1.518,1.345,0.927,0.407
0.630,0.464,2.058,1.328,1.443,0.982,0.391
0.491,0.466,2.242,1.237,1.757,0.993,0.371
0.485,0.445,2.421,1.418,1.591,0.973,0.388
0.502,0.451,2.098,1.445,1.571,0.983,0.374
0.484,0.429,2.230,1.316,1.534,0.941,0.408
0.467,0.458,2.267,1.246,1.729,0.965,0.363
0.509,0.488,2.290,1.273,1.606,0.949,0.382
0.577,0.463,2.132,1.136,1.435,1.058,0.401
0.460,0.469,2.377,1.229,1.634,0.859,0.379
0.560,0.478,2.118,1.271,1.439,0.997,0.389
0.703,0.484,2.045,1.430,1.439,0.923,0.423
0.561,0.467,2.160,1.398,1.474,0.960,0.390
0.628,0.476,1.883,1.307,1.371,1.069,0.400
0.464,0.451,2.207,1.233,1.646,0.945,0.399
0.623,0.465,2.065,1.293,1.496,1.015,0.372
0.512,0.467,2.252,1.207,1.685,0.989,0.370
0.637,0.448,2.017,1.362,1.251,1.001,0.451
0.543,0.479,2.110,1.163,1.486,0.973,0.374
0.531,0.467,2.107,1.343,1.492,0.983,0.380
0.515,0.465,2.086,1.391,1.540,0.922,0.404
0.547,0.465,2.145,1.231,1.536,0.999,0.384
0.606,0.478,2.060,1.234,1.455,0.968,0.372
0.599,0.454,2.142,1.194,1.412,1.093,0.391
0.441,0.463,2.253,1.350,1.632,0.894,0.391
0.594,0.483,2.044,1.353,1.381,1.060,0.390
0.574,0.484,1.971,1.479,1.415,1.035,0.402
0.501,0.466,2.259,1.204,1.537,1.074,0.372
0.506,0.483,2.313,1.222,1.604,1.065,0.366
0.578,0.467,2.172,1.308,1.411,0.961,0.357
0.505,0.467,2.299,1.449,1.377,1.021,0.397
0.606,0.464,1.982,1.369,1.402,1.060,0.392
0.484,0.462,2.229,1.253,1.575,1.002,0.395
0.493,0.476,2.084,1.296,1.532,0.931,0.403
0.478,0.448,2.270,1.369,1.586,0.935,0.444
0.483,0.476,2.247,1.235,1.654,0.929,0.391
0.588,0.488,2.110,1.296,1.446,1.014,0.378
0.505,0.470,2.141,1.230,1.607,0.999,0.404
0.782,0.458,1.945,1.446,1.288,0.960,0.393
0.598,0.476,1.987,1.407,1.526,1.030,0.397
0.705,0.489,1.882,1.299,1.419,0.978,0.379
0.607,0.463,2.056,1.290,1.336,0.934,0.425
0.489,0.464,2.259,1.372,1.596,0.931,0.388
0.656,0.450,1.967,1.372,1.305,0.944,0.417
0.624,0.462,1.999,1.410,1.286,1.008,0.395
0.692,0.485,1.903,1.268,1.228,0.978,0.413
0.633,0.471,1.873,1.223,1.231,0.929,0.409
0.469,0.463,2.298,1.332,1.522,1.018,0.400
0.551,0.467,2.194,1.502,1.515,1.041,0.436
0.587,0.483,2.036,1.413,1.404,1.035,0.398
0.645,0.435,1.977,1.531,1.277,0.999,0.393
0.782,0.473,1.894,1.329,1.202,1.186,0.386
0.533,0.453,2.212,1.328,1.648,1.036,0.378
0.530,0.456,2.170,1.435,1.336,1.061,0.449
0.583,0.448,2.052,1.358,1.465,1.070,0.400
0.505,0.460,2.087,1.294,1.501,1.015,0.407
0.534,0.450,2.229,1.348,1.541,1.002,0.373
0.534,0.462,2.221,1.458,1.616,0.942,0.383
0.533,0.487,2.250,1.268,1.592,1.013,0.369
0.495,0.458,2.136,1.197,1.510,1.028,0.419
0.513,0.473,2.197,1.175,1.612,0.995,0.382
0.506,0.453,2.326,1.524,1.492,1.033,0.392
0.609,0.482,2.033,1.202,1.331,1.004,0.388
0.614,0.462,1.952,1.274,1.488,1.033,0.410
0.523,0.450,2.145,1.233,1.418,1.012,0.378
0.617,0.452,2.024,1.584,1.402,1.029,0.408
0.627,0.485,2.029,1.197,1.490,1.016,0.384
0.534,0.452,2.164,1.387,1.437,1.023,0.389
0.531,0.483,2.209,1.336,1.489,0.987,0.374
0.477,0.478,2.184,1.387,1.652,0.951,0.380
0.569,0.471,2.092,1.362,1.447,1.009,0.390
0.520,0.457,2.365,1.544,1.418,1.041,0.457
0.547,0.452,2.165,1.456,1.325,1.055,0.431
0.464,0.483,2.499,1.182,1.700,0.959,0.370
0.525,0.464,2.097,1.463,1.398,0.987,0.402
0.498,0.476,2.241,1.298,1.601,0.965,0.369
0.456,0.449,2.329,1.421,1.528,0.934,0.405
0.536,0.455,2.186,1.232,1.464,1.044,0.377
0.563,0.467,2.163,1.282,1.540,0.977,0.405
0.618,0.501,1.928,1.390,1.515,0.880,0.395
0.478,0.467,2.265,1.246,1.607,0.951,0.390
0.528,0.473,2.142,1.270,1.534,1.059,0.360
0.521,0.466,2.132,1.265,1.492,0.968,0.369
0.493,0.458,2.175,1.400,1.607,1.012,0.358
0.569,0.457,1.997,1.438,1.459,1.111,0.374
0.510,0.487,2.311,1.244,1.495,1.083,0.380
0.587,0.462,2.055,1.297,1.442,0.997,0.375
0.582,0.459,2.170,1.275,1.499,1.117,0.371
0.550,0.474,1.990,1.396,1.443,0.947,0.360
0.540,0.466,2.229,1.325,1.570,1.105,0.356
0.505,0.455,2.161,1.307,1.492,1.032,0.371
0.518,0.483,2.289,1.483,1.473,1.087,0.397
0.530,0.486,2.185,1.344,1.467,1.044,0.378
0.566,0.479,2.182,1.305,1.396,1.019,0.402
0.573,0.463,2.118,1.351,1.454,1.012,0.362
0.499,0.449,2.173,1.251,1.647,1.003,0.370
0.495,0.457,2.281,1.305,1.507,1.062,0.352
0.599,0.451,1.941,1.384,1.494,0.977,0.373
0.591,0.456,2.091,1.438,1.532,0.966,0.371
0.580,0.455,2.038,1.393,1.430,1.161,0.387
0.563,0.461,2.190,1.250,1.529,1.006,0.362
0.542,0.471,2.170,1.331,1.538,1.003,0.373
0.550,0.461,2.065,1.254,1.508,0.969,0.376
0.582,0.461,2.056,1.345,1.488,1.040,0.396
0.627,0.475,2.020,1.374,1.341,1.021,0.378
0.506,0.465,2.323,1.218,1.564,1.057,0.382
0.510,0.463,2.236,1.261,1.624,1.059,0.362
0.588,0.465,2.197,1.356,1.405,1.047,0.394
0.572,0.456,2.144,1.394,1.458,1.052,0.382
0.541,0.473,2.212,1.213,1.523,0.980,0.369
0.474,0.466,2.151,1.296,1.675,0.983,0.379
0.538,0.460,2.134,1.385,1.515,1.045,0.336
0.484,0.457,2.230,1.375,1.494,1.037,0.394
0.534,0.446,2.079,1.442,1.653,0.984,0.371
0.533,0.467,2.101,1.290,1.529,0.965,0.369
0.499,0.479,2.172,1.356,1.644,0.974,0.353
0.477,0.453,2.238,1.245,1.518,0.999,0.415
0.501,0.483,2.103,1.361,1.576,0.949,0.363
0.628,0.438,2.127,1.412,1.427,1.107,0.395
0.616,0.469,2.042,1.318,1.411,1.053,0.378
0.488,0.464,2.253,1.381,1.580,1.016,0.354
0.476,0.454,2.055,1.371,1.610,0.930,0.359
0.594,0.469,2.135,1.305,1.403,1.042,0.362
0.485,0.464,2.251,1.312,1.607,0.995,0.339
0.530,0.478,2.030,1.421,1.545,1.055,0.395
0.486,0.464,2.294,1.378,1.615,1.017,0.337
0.622,0.467,1.906,1.368,1.400,1.005,0.376
0.565,0.458,2.038,1.365,1.440,1.060,0.358
0.475,0.474,2.198,1.274,1.567,0.973,0.370
0.544,0.466,2.200,1.421,1.456,0.997,0.391
0.602,0.468,2.061,1.332,1.396,0.989,0.372
0.466,0.452,2.163,1.364,1.634,0.988,0.373
0.480,0.461,2.262,1.290,1.571,0.920,0.363
0.503,0.452,2.237,1.274,1.542,1.083,0.396
0.558,0.468,2.100,1.395,1.451,1.018,0.374
0.562,0.474,2.139,1.329,1.497,1.014,0.402
0.497,0.474,2.233,1.330,1.602,0.983,0.349
0.561,0.454,2.038,1.317,1.435,1.003,0.395
0.524,0.472,2.114,1.364,1.449,1.063,0.354
0.443,0.446,2.318,1.415,1.564,0.986,0.380
0.461,0.482,2.264,1.289,1.702,0.986,0.366
0.523,0.464,2.238,1.343,1.515,1.036,0.388
0.529,0.482,2.083,1.290,1.574,0.975,0.358
0.681,0.461,2.039,1.516,1.330,1.036,0.397
0.588,0.491,2.004,1.263,1.485,1.028,0.370
0.478,0.455,2.326,1.384,1.533,0.988,0.404
0.522,0.483,2.244,1.256,1.531,1.031,0.380
0.555,0.458,2.041,1.374,1.542,1.056,0.357
0.498,0.467,2.208,1.285,1.656,0.985,0.336
0.466,0.440,2.197,1.304,1.647,1.008,0.370
0.514,0.480,2.288,1.381,1.553,1.058,0.374
0.505,0.453,2.124,1.310,1.537,0.976,0.344
0.541,0.470,2.209,1.255,1.495,1.011,0.385
0.486,0.465,2.354,1.354,1.632,1.052,0.365
0.531,0.491,2.135,1.311,1.555,1.029,0.375
0.497,0.474,2.186,1.260,1.599,0.941,0.399
0.477,0.453,2.066,1.361,1.734,0.999,0.356
0.471,0.453,2.182,1.299,1.520,1.049,0.397
0.536,0.454,2.227,1.284,1.533,1.012,0.367
0.487,0.463,2.234,1.268,1.560,0.913,0.363
0.454,0.464,2.241,1.429,1.524,1.002,0.403
0.512,0.458,2.153,1.351,1.486,1.005,0.366
0.492,0.476,2.259,1.332,1.591,1.004,0.365
0.522,0.455,2.131,1.365,1.628,0.989,0.362
0.559,0.472,2.046,1.290,1.450,1.131,0.368
0.488,0.461,2.224,1.271,1.659,0.937,0.390
0.607,0.454,2.018,1.323,1.471,0.977,0.391
0.535,0.479,2.036,1.326,1.560,0.992,0.374
0.428,0.451,2.394,1.313,1.766,1.025,0.354
0.532,0.452,2.254,1.338,1.567,1.052,0.358
0.537,0.470,2.207,1.310,1.475,1.022,0.387
0.471,0.464,2.139,1.314,1.536,0.971,0.405
0.574,0.452,2.139,1.282,1.426,1.031,0.401
0.530,0.478,2.176,1.363,1.576,1.106,0.348
0.510,0.467,2.110,1.343,1.507,0.983,0.392
0.452,0.444,2.261,1.426,1.577,0.999,0.402
0.487,0.446,2.225,1.297,1.670,1.047,0.378
0.499,0.458,2.075,1.315,1.428,1.008,0.397
0.485,0.460,2.363,1.376,1.610,0.999,0.374
0.705,0.471,1.919,1.269,1.280,0.974,0.367
0.475,0.469,2.283,1.301,1.524,0.962,0.381
0.509,0.484,2.128,1.245,1.565,0.970,0.377
0.563,0.458,1.993,1.393,1.536,1.108,0.365
0.546,0.472,2.129,1.356,1.517,1.105,0.387
0.485,0.462,2.151,1.313,1.498,1.027,0.391
0.462,0.485,2.255,1.285,1.747,1.032,0.366
0.525,0.454,2.212,1.416,1.465,1.037,0.391
0.476,0.466,2.223,1.279,1.592,1.025,0.397
0.494,0.472,2.162,1.313,1.594,0.943,0.379
0.511,0.472,2.300,1.365,1.631,1.022,0.361
0.480,0.474,2.240,1.347,1.658,1.020,0.370
0.495,0.471,2.217,1.452,1.652,1.045,0.364
0.564,0.459,2.065,1.308,1.542,1.007,0.358
0.515,0.488,2.149,1.282,1.601,0.949,0.358
0.511,0.467,2.109,1.266,1.498,1.037,0.355
0.531,0.462,2.095,1.282,1.481,1.008,0.377
0.509,0.453,2.254,1.239,1.544,1.038,0.386
0.590,0.471,2.102,1.311,1.554,1.069,0.377
0.570,0.475,2.010,1.384,1.522,0.929,0.362
0.580,0.478,2.166,1.382,1.524,1.081,0.348
0.516,0.475,2.191,1.336,1.510,1.018,0.346
0.598,0.470,1.982,1.268,1.409,1.060,0.375
0.502,0.458,2.235,1.337,1.614,0.940,0.400
0.509,0.444,2.199,1.370,1.507,1.088,0.386
0.504,0.500,2.150,1.439,1.525,0.938,0.343
0.605,0.482,1.986,1.362,1.490,0.982,0.373
0.573,0.461,2.049,1.260,1.556,1.106,0.380
0.499,0.474,2.262,1.452,1.556,1.095,0.386
0.633,0.459,2.037,1.189,1.481,1.167,0.369
0.548,0.467,2.073,1.387,1.524,0.996,0.372
0.650,0.467,1.767,1.254,1.553,1.089,0.340
0.517,0.459,2.089,1.422,1.496,0.991,0.364
0.491,0.463,2.324,1.226,1.563,1.051,0.396
0.510,0.460,2.056,1.393,1.521,1.035,0.373
0.494,0.458,2.253,1.278,1.555,1.025,0.365
0.633,0.478,2.027,1.432,1.432,1.038,0.407
0.551,0.462,2.149,1.340,1.557,1.085,0.363
0.567,0.475,2.044,1.227,1.463,1.110,0.377
0.553,0.469,2.137,1.311,1.439,0.959,0.362
0.502,0.478,2.132,1.297,1.554,1.033,0.363
0.519,0.434,2.110,1.446,1.553,1.038,0.404
0.513,0.469,2.151,1.239,1.550,1.034,0.353
0.467,0.465,2.289,1.262,1.563,1.043,0.372
0.471,0.446,2.286,1.356,1.527,0.948,0.381
0.562,0.456,2.136,1.333,1.624,0.951,0.398
0.469,0.469,2.248,1.323,1.654,0.996,0.389
0.540,0.481,2.120,1.381,1.535,0.992,0.391
0.528,0.463,2.186,1.344,1.460,1.038,0.367
0.492,0.494,2.216,1.332,1.547,1.008,0.360
0.602,0.460,2.013,1.378,1.418,1.134,0.394
0.539,0.478,2.185,1.297,1.556,1.040,0.367
0.525,0.446,2.141,1.378,1.458,1.024,0.385
0.540,0.459,2.227,1.364,1.489,1.041,0.396
0.449,0.454,2.318,1.299,1.734,1.086,0.361
0.500,0.466,2.190,1.316,1.549,1.000,0.372
0.461,0.443,2.229,1.309,1.724,1.035,0.393
0.582,0.459,2.018,1.294,1.579,0.998,0.373
0.507,0.432,2.240,1.375,1.599,1.154,0.368
0.470,0.473,2.306,1.381,1.587,0.981,0.361
0.456,0.465,2.266,1.411,1.649,1.069,0.365
0.465,0.468,2.302,1.276,1.667,1.002,0.384
0.504,0.429,2.245,1.374,1.484,1.123,0.380
0.470,0.456,2.219,1.301,1.641,1.023,0.361
0.461,0.461,2.118,1.243,1.605,0.960,0.360
0.552,0.454,2.086,1.374,1.544,0.917,0.368
0.545,0.455,2.048,1.337,1.399,1.067,0.376
0.578,0.454,2.023,1.291,1.470,0.964,0.391
0.575,0.486,1.919,1.301,1.561,1.032,0.357
0.489,0.458,2.175,1.384,1.629,1.022,0.371
0.514,0.463,2.178,1.376,1.464,1.003,0.384
0.522,0.473,2.100,1.312,1.517,1.001,0.355
0.607,0.475,2.023,1.317,1.477,0.955,0.377
0.451,0.466,2.275,1.334,1.579,0.981,0.378
0.459,0.471,2.242,1.255,1.569,0.940,0.393
0.494,0.488,2.141,1.353,1.606,0.988,0.346
0.607,0.464,2.055,1.234,1.444,1.073,0.378
0.508,0.474,2.171,1.339,1.466,0.995,0.390
0.492,0.432,2.195,1.330,1.447,1.051,0.369
0.490,0.468,2.287,1.345,1.554,1.083,0.389
0.439,0.451,2.296,1.258,1.664,0.949,0.355
0.501,0.473,2.322,1.361,1.630,1.037,0.371
0.607,0.465,2.001,1.430,1.537,1.119,0.381
0.496,0.448,2.321,1.383,1.472,1.089,0.411
0.460,0.452,2.250,1.247,1.605,0.968,0.395
0.536,0.460,2.207,1.379,1.486,1.103,0.384
0.523,0.436,2.041,1.312,1.536,1.041,0.382
0.487,0.450,2.117,1.386,1.570,1.026,0.401
0.534,0.477,2.085,1.338,1.566,1.046,0.382
0.506,0.476,2.224,1.381,1.573,1.014,0.372
0.482,0.493,2.199,1.337,1.798,0.966,0.349
0.439,0.464,2.247,1.263,1.648,0.969,0.397
0.473,0.486,2.210,1.322,1.644,0.982,0.381
0.441,0.452,2.257,1.389,1.653,0.969,0.369
0.455,0.469,2.270,1.264,1.678,1.000,0.387
0.476,0.461,2.368,1.405,1.640,1.057,0.367
0.481,0.478,2.240,1.515,1.574,1.044,0.352
0.536,0.473,2.150,1.274,1.574,1.052,0.347
0.514,0.471,2.346,1.333,1.537,1.079,0.369
0.500,0.467,2.172,1.311,1.580,1.031,0.374
0.493,0.463,2.328,1.294,1.650,1.011,0.371
0.471,0.463,2.200,1.358,1.653,1.051,0.379
0.515,0.456,2.173,1.399,1.530,1.009,0.358
0.466,0.476,2.241,1.300,1.583,0.970,0.354
0.468,0.470,2.316,1.326,1.584,0.969,0.359
0.468,0.473,2.281,1.393,1.649,1.001,0.365
0.536,0.473,2.122,1.388,1.473,0.994,0.388
0.583,0.469,2.145,1.330,1.508,1.095,0.364
0.466,0.480,2.244,1.425,1.691,0.997,0.341
0.699,0.480,1.889,1.329,1.358,1.037,0.388
0.500,0.462,2.152,1.317,1.625,1.016,0.380
0.491,0.457,2.142,1.434,1.671,0.984,0.369
0.534,0.481,2.293,1.324,1.553,0.991,0.371
0.490,0.470,2.236,1.352,1.620,0.994,0.358
0.468,0.460,2.291,1.311,1.692,1.070,0.368
0.486,0.448,2.090,1.498,1.546,0.968,0.376
0.509,0.464,2.206,1.474,1.573,0.997,0.371
0.444,0.467,2.318,1.341,1.633,0.997,0.352
0.505,0.451,2.224,1.348,1.510,1.009,0.386
0.520,0.435,1.995,1.375,1.568,1.049,0.418
0.511,0.460,2.129,1.346,1.411,1.031,0.420
0.616,0.444,1.869,1.386,1.459,1.102,0.376
0.600,0.471,1.948,1.360,1.521,1.074,0.357
0.572,0.451,2.106,1.338,1.483,1.082,0.382
0.612,0.479,1.993,1.264,1.322,1.010,0.372
0.487,0.459,2.178,1.349,1.604,0.956,0.356
0.587,0.455,2.026,1.394,1.464,1.086,0.389
0.581,0.483,2.138,1.252,1.441,1.090,0.370
0.472,0.477,2.224,1.406,1.620,0.933,0.379
0.573,0.470,2.222,1.188,1.303,1.113,0.366
0.612,0.474,2.126,1.228,1.334,1.082,0.380
0.489,0.462,2.176,1.344,1.527,1.066,0.378
0.607,0.481,1.901,1.236,1.418,1.038,0.391
0.512,0.465,2.189,1.238,1.459,0.984,0.380
0.489,0.457,2.149,1.166,1.575,0.962,0.375
0.560,0.482,2.044,1.326,1.503,1.015,0.369
0.536,0.470,2.093,1.227,1.434,1.046,0.382
0.496,0.486,2.142,1.331,1.515,0.954,0.366
0.530,0.465,2.045,1.348,1.566,1.010,0.366
0.522,0.465,2.258,1.352,1.506,1.125,0.380
0.538,0.471,2.069,1.283,1.491,0.959,0.380
0.523,0.467,2.220,1.358,1.501,1.053,0.330
0.545,0.472,2.161,1.403,1.499,1.123,0.378
0.595,0.468,1.979,1.312,1.427,1.061,0.404
0.579,0.469,1.974,1.228,1.451,1.008,0.369
0.557,0.465,2.049,1.339,1.464,0.980,0.371
0.576,0.458,2.065,1.277,1.538,0.962,0.371
0.474,0.464,2.220,1.234,1.625,1.069,0.371
0.530,0.456,2.075,1.363,1.545,1.016,0.377
0.542,0.472,2.155,1.299,1.453,1.108,0.372
0.565,0.475,2.224,1.362,1.448,1.098,0.360
0.467,0.461,2.227,1.268,1.661,1.084,0.357
0.580,0.465,2.044,1.341,1.396,1.009,0.386
0.498,0.487,2.193,1.314,1.627,0.948,0.385
0.525,0.452,2.107,1.373,1.535,1.015,0.379
0.527,0.477,2.180,1.402,1.497,1.042,0.386
0.560,0.479,2.126,1.266,1.396,1.029,0.376
0.542,0.449,2.047,1.319,1.451,1.025,0.389
0.602,0.455,2.032,1.249,1.414,1.099,0.375
0.585,0.471,2.118,1.297,1.386,1.104,0.412
0.644,0.489,2.143,1.301,1.366,1.118,0.345
0.529,0.453,2.241,1.338,1.534,1.156,0.400
0.510,0.459,2.258,1.319,1.565,1.061,0.371
0.575,0.459,2.142,1.424,1.466,0.972,0.400
0.530,0.458,2.065,1.124,1.475,1.056,0.419
0.528,0.460,2.347,1.316,1.442,1.067,0.371
0.582,0.455,2.003,1.404,1.445,1.076,0.376
0.537,0.455,2.122,1.327,1.428,1.132,0.375
0.531,0.446,2.056,1.233,1.490,1.038,0.367
0.502,0.466,2.104,1.151,1.619,0.901,0.396
0.467,0.455,2.257,1.233,1.458,1.027,0.387
0.544,0.466,2.105,1.424,1.482,1.011,0.385
0.545,0.461,2.232,1.311,1.551,1.072,0.376
0.470,0.466,2.370,1.338,1.534,1.055,0.352
0.535,0.481,2.120,1.388,1.402,1.007,0.359
0.527,0.465,2.190,1.391,1.512,1.012,0.343
0.494,0.460,2.181,1.266,1.441,1.066,0.377
0.525,0.456,2.164,1.352,1.504,1.095,0.363
0.479,0.456,2.285,1.339,1.580,1.020,0.384
0.521,0.461,2.248,1.423,1.606,1.043,0.344
0.500,0.468,2.291,1.388,1.601,1.080,0.368
0.527,0.501,2.220,1.328,1.539,1.036,0.376
0.517,0.463,2.138,1.348,1.589,1.032,0.378
0.544,0.477,2.247,1.278,1.479,1.033,0.352
0.581,0.450,2.076,1.276,1.388,1.025,0.390
0.772,0.463,2.004,1.542,1.195,0.895,0.384
0.576,0.464,2.166,1.269,1.465,1.089,0.380
0.538,0.480,2.144,1.235,1.521,0.977,0.358
0.483,0.459,2.145,1.308,1.576,0.993,0.369
0.452,0.463,2.261,1.270,1.594,0.964,0.381
0.566,0.441,1.998,1.439,1.470,1.031,0.394
0.567,0.449,2.087,1.310,1.533,0.973,0.391
0.538,0.451,2.169,1.240,1.492,1.114,0.404
0.514,0.454,2.224,1.281,1.586,1.104,0.372
0.484,0.466,2.090,1.341,1.541,0.984,0.380
0.511,0.456,2.279,1.288,1.488,1.063,0.365
0.557,0.476,2.083,1.218,1.360,1.032,0.367
0.477,0.477,2.219,1.329,1.583,1.008,0.368
0.511,0.475,2.265,1.356,1.485,1.076,0.379
0.514,0.464,2.101,1.354,1.587,1.010,0.363
0.501,0.461,2.253,1.298,1.515,1.018,0.359
0.478,0.454,2.255,1.358,1.579,0.999,0.371
0.492,0.456,2.218,1.297,1.610,0.964,0.412
0.491,0.451,2.230,1.319,1.588,0.975,0.395
0.577,0.475,2.026,1.229,1.521,1.027,0.379
0.511,0.464,2.116,1.413,1.451,1.018,0.327
0.660,0.436,2.035,1.271,1.411,1.058,0.375
0.520,0.460,2.256,1.317,1.476,1.048,0.399
0.528,0.449,2.169,1.277,1.530,1.088,0.399
0.595,0.451,1.966,1.327,1.479,1.123,0.394
0.530,0.482,2.390,1.450,1.378,1.127,0.357
0.597,0.471,2.211,1.434,1.455,1.168,0.384
0.488,0.463,2.253,1.301,1.578,0.965,0.362
0.539,0.449,2.189,1.289,1.477,1.011,0.377
0.511,0.469,2.204,1.289,1.547,1.016,0.400
0.494,0.475,2.325,1.334,1.545,1.033,0.353
0.523,0.471,2.269,1.296,1.530,1.137,0.388
0.553,0.467,2.018,1.365,1.501,1.027,0.372
0.494,0.445,2.137,1.422,1.576,1.000,0.346
0.633,0.478,1.954,1.277,1.502,1.037,0.353
0.557,0.452,2.060,1.339,1.509,1.046,0.366
0.500,0.458,2.195,1.440,1.384,1.007,0.386
0.552,0.474,1.998,1.290,1.508,1.053,0.373
0.528,0.456,2.099,1.380,1.460,1.060,0.363
0.529,0.468,2.205,1.421,1.497,1.001,0.383
0.564,0.445,2.098,1.180,1.492,1.024,0.370
0.476,0.471,2.295,1.362,1.720,0.935,0.371
0.466,0.456,2.472,1.374,1.671,1.117,0.371
0.449,0.490,2.293,1.263,1.512,0.968,0.363
0.623,0.477,1.956,1.349,1.389,1.014,0.388
0.480,0.454,2.198,1.327,1.478,1.030,0.374
0.629,0.452,2.078,1.361,1.372,1.098,0.372
0.512,0.459,2.192,1.413,1.480,1.002,0.381
0.473,0.464,2.150,1.295,1.621,1.021,0.382
0.505,0.471,2.199,1.347,1.648,1.026,0.376
0.539,0.459,2.130,1.305,1.536,0.974,0.355
0.504,0.458,2.076,1.571,1.621,1.035,0.405
0.582,0.469,1.935,1.316,1.385,1.044,0.380
0.578,0.464,1.986,1.379,1.463,1.041,0.381
0.498,0.455,2.347,1.291,1.533,1.031,0.369
0.503,0.454,2.252,1.352,1.526,1.055,0.364
0.534,0.453,2.219,1.349,1.496,0.983,0.365
0.515,0.464,2.161,1.272,1.488,1.003,0.377
0.523,0.464,2.139,1.196,1.560,1.099,0.399
0.504,0.463,2.158,1.381,1.471,1.059,0.419
0.552,0.446,2.104,1.238,1.507,1.046,0.362
0.522,0.478,2.186,1.352,1.631,0.985,0.382
0.493,0.470,2.291,1.319,1.546,1.031,0.370
0.520,0.474,2.190,1.259,1.641,1.048,0.352
0.516,0.456,2.153,1.319,1.562,0.969,0.368
0.505,0.433,2.184,1.379,1.490,1.149,0.397
0.501,0.482,2.296,1.339,1.605,1.024,0.365
0.574,0.448,2.044,1.366,1.610,1.048,0.360
0.537,0.447,2.081,1.294,1.563,1.031,0.398
0.478,0.454,2.279,1.330,1.512,1.050,0.378
0.493,0.462,2.171,1.291,1.573,1.075,0.372
0.514,0.439,2.193,1.366,1.582,1.056,0.391
0.589,0.453,2.055,1.314,1.358,1.061,0.371
0.479,0.494,2.461,1.435,1.552,0.991,0.356
0.523,0.463,2.194,1.397,1.550,1.099,0.409
0.578,0.466,2.005,1.296,1.441,1.023,0.371
0.466,0.468,2.336,1.313,1.616,1.014,0.388
0.503,0.468,2.259,1.309,1.580,1.089,0.390
0.548,0.455,2.152,1.380,1.419,1.098,0.376
0.498,0.472,2.287,1.292,1.625,1.065,0.374
0.528,0.471,2.197,1.289,1.615,1.037,0.383
0.623,0.459,2.067,1.474,1.399,1.102,0.396
0.501,0.459,2.252,1.364,1.527,1.014,0.382
0.454,0.472,2.186,1.271,1.630,0.943,0.404
0.451,0.453,2.228,1.366,1.455,1.020,0.396
0.498,0.452,2.076,1.380,1.500,0.958,0.404
0.520,0.470,2.220,1.264,1.508,1.013,0.362
0.434,0.464,2.165,1.240,1.582,0.958,0.379
0.612,0.452,1.961,1.302,1.394,0.944,0.381
0.472,0.436,2.056,1.332,1.606,1.069,0.352
0.517,0.466,2.243,1.299,1.481,1.077,0.375
0.507,0.466,2.378,1.283,1.612,1.068,0.374
0.520,0.459,2.179,1.278,1.545,1.072,0.400
0.528,0.447,2.152,1.243,1.473,1.059,0.387
0.530,0.477,2.114,1.293,1.552,0.972,0.367
0.457,0.459,2.313,1.401,1.561,0.984,0.375
0.460,0.456,2.269,1.294,1.613,1.099,0.363
0.539,0.453,2.162,1.344,1.480,1.031,0.377
0.463,0.460,2.404,1.418,1.524,1.059,0.369
0.581,0.474,2.055,1.315,1.572,1.035,0.391
0.509,0.466,2.134,1.320,1.603,0.991,0.380
0.544,0.491,2.126,1.322,1.511,1.087,0.358
0.628,0.481,2.058,1.295,1.419,0.971,0.352
0.481,0.465,2.212,1.325,1.597,1.082,0.383
0.498,0.467,2.088,1.353,1.473,0.967,0.343
